ID,MATCH,TESTO DI PARTENZA (TP),TESTO DI ARRIVO (TA)
ART01_F01_GPT,Arquera,La arquera sudafricana espera que haberse declarado lesbiana ayude a las personas que sufren por su sexualidad,L’arciera sudafricana spera che essersi dichiarata lesbica aiuti le persone che soffrono per la propria sessualità.
ART01_F02_GPT,Arquera,La arquera sudafricana Karen Hultzer espera que haberse declarado lesbiana en los Juegos Olímpicos de Londres ayude a las personas que sufren por su sexualidad y contribuya a la lucha contra la homofobia en el deporte.,L’arciera sudafricana Karen Hultzer spera che essersi dichiarata lesbica ai Giochi Olimpici di Londra aiuti le persone che soffrono per la propria sessualità e contribuisca alla lotta contro l’omofobia nello sport.
ART01_F18_GPT,Arquera,"""Tenemos que ser modelos para mostrar que no está mal ser gay y que es normal"", dijo la arquera a Reuters.","«Dobbiamo essere modelli per mostrare che non c’è nulla di sbagliato nell’essere gay e che è normale», ha detto l’arciera a Reuters."
ART02_F02_GPT,Jinete,"Hayley Turner es la jinete pionera del Reino Unido, pero su pequeño cuerpo ha pagado el precio, y no le molesta en lo absoluto.","Hayley Turner è la fantina pioniera del Regno Unito, ma il suo corpo minuto ne ha pagato il prezzo, e la cosa non la infastidisce affatto."
ART02_F03_GPT,Jinete,"“Podría quebrarme los huesos todos los días”, dice la jinete de 31 años, que una vez recibió correspondencia dirigida a “Hayley Turner - hospitalizada en algún lugar de Cambridgeshire”.","«Potrei rompermi le ossa ogni giorno», dice la fantina trentunenne, che una volta ha ricevuto della corrispondenza indirizzata a «Hayley Turner - ricoverata da qualche parte nel Cambridgeshire»."
ART02_F19_GPT,Jinete,"En 2008, Turner fue la primera mujer jinete en ganar 100 carreras en un año, en una temporada de casi 1.000 carreras en el Reino Unido.","Nel 2008 Turner è stata la prima fantina donna a vincere 100 corse in un anno, in una stagione di quasi 1.000 corse nel Regno Unito."
ART02_F21_GPT,Jinetes,"Turner tiene más de 50.000 seguidores en Twitter, lo que la hace más popular en esta red que las jinetes canadienses de alto nivel Emma-Jayne Wilson y Chantal Sutherland, que la aventajan en victorias en los hipódromos, pero no en seguidores.","Turner ha più di 50.000 follower su Twitter, il che la rende più popolare su questa rete delle fantine canadesi di alto livello Emma-Jayne Wilson e Chantal Sutherland, che la superano per vittorie negli ippodromi, ma non per follower."
ART03_F09_GPT,Tiradora,"El pasado 11 de febrero, el Juzgado de lo Penal número 1 de Avilés falló a favor de Sonia Franquet, tiradora olímpica, sexta en los Juegos Olímpicos de Río 2016.","L’11 febbraio scorso, il Tribunale penale n. 1 di Avilés ha dato ragione a Sonia Franquet, tiratrice olimpica, sesta ai Giochi Olimpici di Rio 2016."
ART03_F14_GPT,Tiradora,La sentencia judicial guardaba dos detalles que hoy angustian a la tiradora.,La sentenza conteneva due dettagli che oggi angosciano la tiratrice.
ART03_F32_GPT,Tiradora,"Después de la sentencia de febrero, la Federación Española de Tiro Olímpico y la Federación Asturiana realizaron un comunicado conjunto en el que pidieron ""disculpas"" a la tiradora ""por los errores en que hubieran podido incurrir durante la gestión de este complejo problema"", pero ahora aseguran que no pueden ayudarla.","Dopo la sentenza di febbraio, la Federazione Spagnola di Tiro Olimpico e la Federazione Asturiana hanno diffuso un comunicato congiunto in cui chiedevano «scusa» alla tiratrice «per gli errori che avessero potuto commettere nella gestione di questo complesso problema», ma ora assicurano di non poterla aiutare."
ART03_F44_GPT,Tiradora,"Pese a lo vivido en el pasado ciclo olímpico, la tiradora disputó en junio el Europeo de Croacia con opciones de conseguir una plaza para los Juegos de Tokio 2020 que al final se le escapó.","Nonostante quanto vissuto nel precedente ciclo olimpico, la tiratrice ha disputato a giugno l’Europeo in Croazia con la possibilità di conquistare un posto per i Giochi di Tokyo 2020, che poi le è sfuggito."
