ID,MATCH,TP,TA
B_ART_01_F01,Arquera,La arquera sudafricana espera que haberse declarado lesbiana ayude a las personas que sufren por su sexualidad,L'arciere sudafricana spera che dichiararsi lesbica aiuti le persone che soffrono a causa della loro sessualità
B_ART_01_F02,Arquera,La arquera sudafricana Karen Hultzer espera que haberse declarado lesbiana en los Juegos Olímpicos de Londres ayude a las personas que sufren por su sexualidad y contribuya a la lucha contra la homofobia en el deporte.,L'arciere sudafricana Karen Hultzer spera che dichiararsi lesbica ai Giochi Olimpici di Londra possa aiutare le persone che soffrono per la loro sessualità e contribuire alla lotta contro l'omofobia nello sport.
B_ART_01_F18,Arquera,"""Tenemos que ser modelos para mostrar que no está mal ser gay y que es normal"", dijo la arquera a Reuters.","""Dobbiamo essere modelli per mostrare che non c'è nulla di sbagliato nell'essere gay e che è normale"", ha detto la portiera alla Reuters."
B_ART_02_F02,Jinete,"Hayley Turner es la jinete pionera del Reino Unido, pero su pequeño cuerpo ha pagado el precio, y no le molesta en lo absoluto.","Hayley Turner è la cavallerizza pioniera del Regno Unito, ma il suo piccolo corpo ha pagato il prezzo, e a lei non importa affatto."
B_ART_02_F03,Jinete,"“Podría quebrarme los huesos todos los días”, dice la jinete de 31 años, que una vez recibió correspondencia dirigida a “Hayley Turner - hospitalizada en algún lugar de Cambridgeshire”.","«Potrei rompersi le ossa ogni giorno», dice la cavallerizza di 31 anni, che una volta ricevette della corrispondenza indirizzata a «Hayley Turner - ricoverata da qualche parte nel Cambridgeshire»."
B_ART_02_F19,Jinete,"En 2008, Turner fue la primera mujer jinete en ganar 100 carreras en un año, en una temporada de casi 1.000 carreras en el Reino Unido.","Nel 2008, Turner è stata la prima donna jockey a vincere 100 corse in un anno, in una stagione di quasi 1.000 corse nel Regno Unito."
B_ART_02_F21,Jinetes,"Turner tiene más de 50.000 seguidores en Twitter, lo que la hace más popular en esta red que las jinetes canadienses de alto nivel Emma-Jayne Wilson y Chantal Sutherland, que la aventajan en victorias en los hipódromos, pero no en seguidores.","Turner ha più di 50.000 follower su Twitter, il che la rende più popolare su questo social rispetto alle fantine canadesi di alto livello Emma-Jayne Wilson e Chantal Sutherland, che la superano in vittorie nei ippodromi, ma non in follower."
B_ART_03_F09,Tiradora,"El pasado 11 de febrero, el Juzgado de lo Penal número 1 de Avilés falló a favor de Sonia Franquet, tiradora olímpica, sexta en los Juegos Olímpicos de Río 2016.","L'11 febbraio scorso, il Tribunale Penale numero 1 di Avilés ha emesso sentenza a favore di Sonia Franquet, tiratrice olimpica, sesta ai Giochi Olimpici di Rio 2016."
B_ART_03_F14,Tiradora,La sentencia judicial guardaba dos detalles que hoy angustian a la tiradora.,La sentenza giudiziaria conteneva due dettagli che oggi angustiano la tiratrice.
B_ART_03_F32,Tiradora,"Después de la sentencia de febrero, la Federación Española de Tiro Olímpico y la Federación Asturiana realizaron un comunicado conjunto en el que pidieron ""disculpas"" a la tiradora ""por los errores en que hubieran podido incurrir durante la gestión de este complejo problema"", pero ahora aseguran que no pueden ayudarla.","Dopo la sentenza di febbraio, la Federazione Spagnola di Tiro Olimpico e la Federazione Asturiana hanno rilasciato un comunicato congiunto in cui hanno chiesto ""scuse"" alla tiratrice ""per gli errori in cui avessero potuto incorrere durante la gestione di questo complesso problema"", ma ora assicurano che non possono aiutarla."
