ID,MATCH,ST,MT
ART_01_F01,Arquera,La arquera sudafricana espera que haberse declarado lesbiana ayude a las personas que sufren por su sexualidad,Il portiere sudafricano spera che dichiararsi lesbica possa aiutare le persone che soffrono a causa della loro sessualità.
ART_01_F02,Arquera,La arquera sudafricana Karen Hultzer espera que haberse declarado lesbiana en los Juegos Olímpicos de Londres ayude a las personas que sufren por su sexualidad y contribuya a la lucha contra la homofobia en el deporte.,L'arciera sudafricana Karen Hultzer spera che dichiararsi lesbica alle Olimpiadi di Londra possa aiutare le persone che soffrono a causa della loro sessualità e contribuire alla lotta contro l'omofobia nello sport.
ART_01_F18,Arquera,"""Tenemos que ser modelos para mostrar que no está mal ser gay y que es normal"", dijo la arquera a Reuters.","""Dobbiamo essere dei modelli per dimostrare che non è sbagliato essere gay e che è normale"", ha detto il portiere alla Reuters."
ART_02_F02,Jinete,"Hayley Turner es la jinete pionera del Reino Unido, pero su pequeño cuerpo ha pagado el precio, y no le molesta en lo absoluto.","Hayley Turner è la ciclista pioniera del Regno Unito, ma la sua piccola corporatura ha avuto il suo peso, e a lei non importa affatto."
ART_02_F03,Jinete,"“Podría quebrarme los huesos todos los días”, dice la jinete de 31 años, que una vez recibió correspondencia dirigida a “Hayley Turner - hospitalizada en algún lugar de Cambridgeshire”.","""Potrei rompermi le ossa ogni giorno"", afferma il fantino trentunenne, che una volta ricevette una corrispondenza indirizzata a ""Hayley Turner, ricoverata in ospedale da qualche parte nel Cambridgeshire""."
ART_02_F19,Jinete,"En 2008, Turner fue la primera mujer jinete en ganar 100 carreras en un año, en una temporada de casi 1.000 carreras en el Reino Unido.","Nel 2008, Turner è diventata la prima fantina a vincere 100 corse in un anno, in una stagione di quasi 1.000 corse nel Regno Unito."
ART_02_F21,Jinetes,"Turner tiene más de 50.000 seguidores en Twitter, lo que la hace más popular en esta red que las jinetes canadienses de alto nivel Emma-Jayne Wilson y Chantal Sutherland, que la aventajan en victorias en los hipódromos, pero no en seguidores.","Turner ha più di 50.000 follower su Twitter, il che la rende più popolare su questo network rispetto alle famose fantine canadesi Emma-Jayne Wilson e Chantal Sutherland, che hanno più vittorie negli ippodromi, ma non più follower."
ART_03_F09,Tiradora,"El pasado 11 de febrero, el Juzgado de lo Penal número 1 de Avilés falló a favor de Sonia Franquet, tiradora olímpica, sexta en los Juegos Olímpicos de Río 2016.","L'11 febbraio, il Tribunale penale numero 1 di Avilés si è pronunciato a favore di Sonia Franquet, tiratrice olimpica, sesta alle Olimpiadi di Rio 2016."
ART_03_F14,Tiradora,La sentencia judicial guardaba dos detalles que hoy angustian a la tiradora.,La sentenza del tribunale conteneva due dettagli che ora angosciano l'autore della sparatoria.
ART_03_F32,Tiradora,"Después de la sentencia de febrero, la Federación Española de Tiro Olímpico y la Federación Asturiana realizaron un comunicado conjunto en el que pidieron ""disculpas"" a la tiradora ""por los errores en que hubieran podido incurrir durante la gestión de este complejo problema"", pero ahora aseguran que no pueden ayudarla.","Dopo la sentenza di febbraio, la Federazione olimpica spagnola di tiro e la Federazione asturiana hanno rilasciato una dichiarazione congiunta in cui si sono scusate con la tiratrice ""per eventuali errori commessi nella gestione di questo complesso problema"", ma ora affermano di non poterla aiutare."
